Date;Time;Speed;Running;Battery Voltage;GSM signal strength;Odometer (Server);Satellites;Temperature A;Humidity A
2017-06-06;05:52;;;55;87;;11;12.7;46.2
2017-06-06;05:57;;;55;90;;10;12.7;46.2
2017-06-06;06:02;;;55;87;;10;12.6;46.2
2017-06-06;06:07;;;55;87;;10;12.6;46.2
2017-06-06;06:12;;;55;87;;11;12.6;46.2
2017-06-06;06:13;;;;;;12;;
2017-06-06;06:17;;;55;90;;11;12.6;46.2
2017-06-06;06:22;;;55;87;;12;12.5;46.7
2017-06-06;06:27;;;55;87;;11;12.5;46.7
2017-06-06;06:32;;;55;90;;11;12.5;46.2
2017-06-06;06:37;;;55;87;;11;12.5;46.7
2017-06-06;06:42;;;55;87;;10;12.5;46.2
2017-06-06;06:47;;;50;90;;10;12.5;46.7
2017-06-06;06:52;;;50;90;;10;12.5;46.7
2017-06-06;06:57;;;50;90;;11;12.6;46.8
2017-06-06;07:02;;;50;90;;11;12.6;46.2
2017-06-06;07:07;;;50;90;;11;12.7;46.8
2017-06-06;07:12;;;50;90;;11;12.8;46.8
2017-06-06;07:13;;;;;;;;46.2
2017-06-06;07:17;;;50;90;;12;12.8;46.8
2017-06-06;07:22;;;50;90;;11;12.8;47.4
2017-06-06;07:27;;;50;90;;10;12.9;46.8
2017-06-06;07:32;;;50;90;;12;13;46.8
2017-06-06;07:37;;;50;90;;10;13;46.8
2017-06-06;07:42;;;50;90;;12;13;47.4
2017-06-06;07:47;;;50;90;;12;13.1;46.2
2017-06-06;07:52;;;50;90;;14;13.1;46.8
2017-06-06;07:57;;;50;90;;15;13.2;46.2
2017-06-06;08:02;;;50;97;;13;13.3;46.2
2017-06-06;08:07;;;50;94;;13;13.4;46.8
2017-06-06;08:12;;;48;94;;12;13.5;47.4
2017-06-06;08:13;;;;;;11;;46.2
2017-06-06;08:17;;;48;94;;13;13.6;46.9
2017-06-06;08:22;;;48;94;;14;13.8;47.5
2017-06-06;08:27;;;48;97;;15;14;47.5
2017-06-06;08:32;;;48;97;;14;14.1;47.5
2017-06-06;08:37;;;48;97;;15;14.2;47.5
2017-06-06;08:42;;;48;94;;11;14.4;48.7
2017-06-06;08:47;;;48;97;;12;14.6;51.2
2017-06-06;08:52;;;;;;;;
2017-06-06;08:52;;1;48;97;;14;14.8;53
